id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8.60715E+17,Habitación luminosa cerca del centro + WiFi,32293460,Irene,Puente de Vallecas,Entrevías,40.38064656,-3.670608586,Private room,37,2,48,29/01/2024,4.1,1,228,48,NA
8.60751E+17,Cerca de Madrid Rio y Latina,37457492,Gala,Carabanchel,Opañel,40.39260624,-3.722344525,Private room,40,2,8,19/12/2023,0.69,1,153,8,NA
8.58704E+17,Canaan Boutique Apartment 2C,294229909,Canaan Xibanya 1,Centro,Palacio,40.42091626,-3.70802841,Entire home/apt,194,1,13,30/12/2023,1.14,9,329,13,NA
8.60795E+17,Habitación en el centro,487941697,Mayra,Chamberí,Vallehermoso,40.44095284,-3.709292215,Private room,50,1,2,21/10/2023,0.35,1,363,2,NA
8.60874E+17,1 Romántica habitación privada cerca centro Madrid,75630494,Francesco,Puente de Vallecas,Numancia,40.3984211,-3.665118261,Private room,28,1,83,06/03/2024,7.09,5,206,83,NA
8.58781E+17,Maison Retiro 02,35217913,Cibise,Retiro,Ibiza,40.42034989,-3.677321782,Private room,45,2,10,08/10/2023,0.85,2,295,10,NA
8.58849E+17,rincón en Madrid3,106154270,Jose Maria,Puente de Vallecas,Palomeras Sureste,40.38453911,-3.638306822,Shared room,68,1,2,30/04/2023,0.18,3,365,2,NA
8.61228E+17,Apartamento Alicia,14713230,Maria,Centro,Embajadores,40.40761289,-3.700260308,Entire home/apt,100,3,22,17/03/2024,2,4,275,22,NA
8.59147E+17,Cómoda luminosa y céntrica,87147113,Elcano,Carabanchel,Comillas,40.38810643,-3.715798969,Private room,,1,0,,,1,0,0,NA
8.59156E+17,Gran Via apt with views to Plaza de España,305260999,Pablo,Centro,Universidad,40.42355413,-3.710833825,Entire home/apt,91,1,48,06/03/2024,6.99,8,207,48,NA
8.61368E+17,Habitación privada céntrica en Madrid,505801747,Xoan,Centro,Cortes,40.41385768,-3.695880711,Private room,63,2,24,18/03/2024,2.06,1,122,24,NA
8.61372E+17,Private bedroom-bath in duplex where owner lives,12603845,Yolanda,Centro,Sol,40.41393,-3.70648,Private room,97,3,31,17/03/2024,2.67,1,36,31,NA
8.61379E+17,Balcony Room in Malasaña.,211679947,Richard,Centro,Universidad,40.4255728,-3.704015138,Private room,38,1,46,28/02/2024,3.92,3,49,46,NA
8.61385E+17,2. Habitación privada cerca centro Madrid,75630494,Francesco,Puente de Vallecas,Numancia,40.40012569,-3.66474275,Private room,26,1,34,18/09/2023,3.03,5,217,34,NA
8.61388E+17,Habitación en centro de Madrid,18248054,Georgina,Centro,Embajadores,40.410589,-3.6965656,Private room,,2,7,22/09/2023,0.61,2,0,7,NA
8.59173E+17,Terraza romántica en Chamberí,12985223,Jesús,Chamberí,Trafalgar,40.43076,-3.70274,Entire home/apt,118,3,18,11/03/2024,1.65,1,51,18,NA
8.61439E+17,Cozy Studio en Justicia,35227343,Alex,Centro,Justicia,40.42310344,-3.694547954,Entire home/apt,112,1,23,08/01/2024,1.97,1,329,23,NA
8.59222E+17,Charming Madrid Pacífico,497890785,Juan Antonio,Retiro,Pacífico,40.40392732,-3.677076048,Entire home/apt,199,1,0,,,2,134,0,NA
